object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
5953,,Female figure in red robe and purple headdress,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5224/female-figure-in-red-robe-and-purple-headdress?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2985,https://searchcollection.asianart.org/internal/media/dispatcher/20444/preview,,The Avery Brundage Collection,B62D48.54,2026-06-03,1,,
5954,,Black-bearded male figure in red and black robe,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5225/blackbearded-male-figure-in-red-and-black-robe?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2986,https://searchcollection.asianart.org/internal/media/dispatcher/20445/preview,,The Avery Brundage Collection,B62D48.55,2026-06-03,1,,
5955,,Pregnant female figure in red top and pants,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 9 1/2 in, H. 24.1 cm",2,,https://searchcollection.asianart.org/objects/5226/pregnant-female-figure-in-red-top-and-pants?ctx=847fc885df412f5e6758c377523def36a1b42438&idx=2987,https://searchcollection.asianart.org/internal/media/dispatcher/20446/preview,,The Avery Brundage Collection,B62D48.56,2026-06-03,1,,
5956,,Male figure in blue robe and holding fan,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 in, H. 25.4 cm",2,,https://searchcollection.asianart.org/objects/5227/male-figure-in-blue-robe-and-holding-fan?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2988,https://searchcollection.asianart.org/internal/media/dispatcher/20447/preview,,The Avery Brundage Collection,B62D48.57,2026-06-03,1,,
5957,,Male figure with black cap and carrying drum,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5229/male-figure-with-black-cap-and-carrying-drum?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2989,https://searchcollection.asianart.org/internal/media/dispatcher/20449/preview,,The Avery Brundage Collection,B62D48.59,2026-06-03,1,,
5958,,Green-faced figure with red hair and beard,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5230/greenfaced-figure-with-red-hair-and-beard?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2990,https://searchcollection.asianart.org/internal/media/dispatcher/20450/preview,,The Avery Brundage Collection,B62D48.60,2026-06-03,1,,
5959,,Bare-chested male figure with queue and black pants,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,,https://searchcollection.asianart.org/objects/5231/barechested-male-figure-with-queue-and-black-pants?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2991,https://searchcollection.asianart.org/internal/media/dispatcher/20451/preview,,The Avery Brundage Collection,B62D48.61,2026-06-03,1,,
5960,,Green-faced male figure wearing red robe with badge and belt,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5232/greenfaced-male-figure-wearing-red-robe-with-badge-and-belt?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2992,https://searchcollection.asianart.org/internal/media/dispatcher/20452/preview,,The Avery Brundage Collection,B62D48.62,2026-06-03,1,,
5961,,Red-bearded male figure in red robe and holding sword with scabbard,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm without rods",2,,https://searchcollection.asianart.org/objects/5233/redbearded-male-figure-in-red-robe-and-holding-sword-with-s?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2993,https://searchcollection.asianart.org/internal/media/dispatcher/20453/preview,,The Avery Brundage Collection,B62D48.63,2026-06-03,1,,
5962,,Red-faced male figure in red robe and headdress with four banners on back,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 11 in, H. 27.9 cm",2,,https://searchcollection.asianart.org/objects/5234/redfaced-male-figure-in-red-robe-and-headdress-with-four-ba?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2994,https://searchcollection.asianart.org/internal/media/dispatcher/20454/preview,,The Avery Brundage Collection,B62D48.64,2026-06-03,1,,
5963,,Male figure wearing red dragon robe and jade belt,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,,https://searchcollection.asianart.org/objects/5236/male-figure-wearing-red-dragon-robe-and-jade-belt?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2995,https://searchcollection.asianart.org/internal/media/dispatcher/20456/preview,,The Avery Brundage Collection,B62D48.66,2026-06-03,1,,
5964,,Female figure with updo wearing blue robe with floral motif,1800-1962,27,Theatrical Arts,Hide with pigments,Hide with pigments,"H. 10 1/2 in, H. 26.7 cm",2,,https://searchcollection.asianart.org/objects/5237/female-figure-with-updo-wearing-blue-robe-with-floral-motif?ctx=7dd8109ee557055cf65470b0a31d570ba7ec9d72&idx=2996,https://searchcollection.asianart.org/internal/media/dispatcher/20457/preview,,The Avery Brundage Collection,B62D48.67,2026-06-03,1,,
